City,month,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Xylene_missing,year
Amaravati,3,28.978817204301077,63.48086021505377,3.945698924731183,11.631505376344085,9.415161290322581,10.638279569892473,0.5817204301075269,14.149247311827958,27.975161290322582,0.4475268817204301,2.016774193548387,0.36376344086021506,71.27956989247312,0.17204301075268819,2019.0
Amaravati,4,18.501444444444445,49.01222222222223,2.5354444444444444,7.948555555555556,6.245222222222223,6.933333333333334,0.44223684210526315,12.82148148148148,25.841,0.19455555555555556,1.154777777777778,0.5176666666666666,65.24444444444444,0.4444444444444444,2019.0
Amaravati,5,27.82602272727273,72.60648351648352,2.2642857142857142,13.06868131868132,8.76010989010989,7.9228571428571435,0.5841538461538461,12.891555555555556,43.637362637362635,2.8030232558139536,1.5286046511627909,4.6144086021505375,89.97849462365592,0.46236559139784944,2019.0
Amaravati,6,18.36422222222222,48.16477777777778,2.8192222222222223,15.785333333333334,10.641222222222222,8.396444444444445,0.553,12.482222222222223,45.50077777777778,0.8160000000000001,2.5143999999999997,2.2186666666666666,68.07777777777778,0.25555555555555554,2019.0
Amaravati,7,14.742063492063492,39.2184126984127,4.521746031746032,14.011269841269842,11.130634920634922,8.491111111111111,0.45396825396825397,12.175396825396824,31.934444444444445,0.18444444444444447,0.8726984126984126,0.3952380952380952,60.53968253968254,0.19047619047619047,2018.5238095238096
Amaravati,8,14.414313725490196,38.51647058823529,4.381372549019607,12.13313725490196,9.797058823529412,14.565098039215687,0.6994117647058824,11.653921568627451,24.471176470588233,0.13607843137254902,0.44607843137254904,0.4316129032258064,75.61290322580645,0.3387096774193548,2018.5
Amaravati,9,27.034814814814816,63.6775,7.022142857142858,21.236071428571428,17.08607142857143,19.977857142857143,1.0882142857142856,12.23,31.839285714285715,0.0475,0.36500000000000005,0.9668333333333333,101.88333333333334,0.75,2018.5
Amaravati,10,31.516538461538463,73.0575,5.755,20.529038461538462,15.619423076923077,13.926153846153845,0.8146153846153846,15.066538461538462,33.60865384615385,0.11288461538461539,1.304423076923077,0.49016129032258066,89.90322580645162,0.3548387096774194,2018.5
Amaravati,11,55.62134328358209,102.20910447761194,6.565970149253731,36.71537313432835,24.927611940298508,8.406567164179105,0.8549253731343284,16.825820895522387,49.21328358208955,0.23134328358208955,2.684776119402985,0.3294029850746269,122.22388059701493,0.22388059701492538,2018.3432835820895
Amaravati,12,74.20333333333333,121.43870967741935,4.690860215053763,41.571075268817204,25.875591397849462,16.25516129032258,0.6573118279569893,16.647956989247312,50.95860215053763,0.36688172043010747,3.441935483870968,0.2747311827956989,158.63440860215053,0.16129032258064516,2018.0
